Job ID	NewLB	Summed CPLength	Summed TWork
822	3832	387	67.98489583333333
1501	491	140	4.9784291666666665
4162	283	101	1.5056458333333333
4844	38	38	0.20291666666666666
5529	66	42	0.270625
5540	60688	4249	388.5088541666667
5653	343	59	5.139166666666667
6028	119	29	0.5826666666666667
6244	159	84	1.0765625
6994	41	41	0.18520833333333334
7122	27917	654	467.8845
7367	31206	423	158.1381
7998	624	56	5.994499999999999
8106	178	69	1.0342041666666666
9226	1668	193	20.9791
9241	12124	2022	332.94197916666667
9663	1553	182	23.0497
10708	36	36	0.08604166666666667
11747	254672	2965	2193.2840625
12123	33	33	0.193125
13037	508	296	0.3903125
13430	78	78	0.11406250000000001
14349	34538	607	164.2427
16259	190	92	1.2880208333333334
18794	48825	1961	659.5388541666666
18807	317	169	1.7944541666666667
19169	58	58	0.46875
19309	29412	1668	18.3183
19342	8253	984	243.7840625
19514	70	70	0.445
19751	70	70	0.7005208333333334
20007	1634	190	20.6973
20144	54321	6323	1263.4060416666666
21674	35988	743	582.5239
22107	642	96	6.734275000000001
22591	349	349	0.15885416666666669
24085	14588	282	396.0717708333333
25329	771	437	4.714499999999999
25427	61714	5753	1099.5262500000001
26270	2755	50	26.58854583333333
26644	392	392	0.13270833333333334
27263	17899	364	408.56614583333334
27554	82	82	0.9897916666666667
28391	310	106	2.898733333333333
28516	177	54	1.1266666666666667
28545	31693	532	169.7779
29282	52	52	0.35541666666666666
29941	145	52	0.9603
30212	51	51	0.06989583333333332
31137	476	55	4.4186000000000005
31232	1096	368	4.296133333333333
31301	479	139	4.6706375
31595	41	41	0.20354166666666665
31875	1666	1665	5.532395833333333
32402	8290	1014	243.74885416666666
32403	35803	463	158.63894166666668
32849	195	59	1.5004625000000003
33001	29976	340	241.19322916666667
33139	39	39	0.1075
34324	2796	2781	3.2269791666666667
34608	8239	6560	59.224583333333335
38190	44	44	0.15385416666666668
38287	117	117	0.9484375
38582	425	371	1.4734375
39198	50	50	0.26875
39296	39	39	0.14583333333333334
39864	246	180	0.0
39953	2999	443	36.5078125
40514	566	165	5.915087500000001
40546	216	76	1.1951249999999998
40601	17765	304	408.811875
40724	34	34	0.16541666666666666
40927	59	59	0.315
41184	27266	532	457.03779999999995
42278	12332	1799	336.38916666666665
42930	1501	178	19.6639
44076	1460	174	19.2143
44412	27801	4018	371.1427083333333
45664	298	49	2.138266666666666
45874	74	74	0.9085416666666667
49837	17304	11566	181.56916666666666
49879	33	33	0.13552083333333334
50645	3657152	34224	3437.5790833333335
52424	75093	4000	378.729375
53038	2124	188	34.39322916666667
55487	37062	484	174.3336
56064	2411	264	26.5962
57250	1843	226	24.346899999999998
57571	27	27	0.044583333333333336
57616	311	107	2.8859874999999997
57730	31007	407	142.37400000000002
57922	341	117	3.0477041666666667
58112	33	33	0.1128125
58383	38	38	0.14
58634	9649	2909	243.17479166666666
60055	210	40	0.7559291666666668
60062	335	115	3.294525
60856	579	578	6.707812499999999
62429	330	218	1.4805458333333334
64559	2058	235	26.540699999999998
64569	208	208	0.8530208333333333
65031	29	29	0.04666666666666667
66589	1576	148	7.6218
66592	64703	3304	529.3705208333333
67643	31116	516	147.5975
69055	122	122	1.7482291666666667
69140	504174	12777	21184.139479166664
70926	64	64	0.5920833333333333
71405	36	36	0.1384375
71958	2369	297	34.0618
72045	2579	40	26.677708333333335
72581	773	228	6.313125
72629	114	114	1.3709375000000001
72896	36160	592	165.40210000000005
73239	33047	7907	235.586875
73280	16804	556	3.612604166666667
73410	1438	166	19.1521
75464	552	160	5.542458333333334
75672	25500	1404	11.961799999999998
75930	29317	402	137.6192
76397	1460	171	18.676199999999998
76423	491	139	4.927825
76731	1626	189	22.032400000000003
76981	35	35	0.06541666666666666
77469	713	383	4.2433
78180	17473	12627	184.76
78815	467	135	5.22055
78974	311	306	0.3726041666666666
79039	7718	217	27.6821875
79852	282	106	1.3723583333333333
80452	34756	598	109.28458333333333
80741	33	33	0.10625
