Job ID	Resource 1 Utilization	Resource 2 Utilization
22527	6.009167	8.840200
386733	5.435625	0.720800
485121	5.854271	1.145200
580464	37.657917	12.778900
636995	110.961354	4.184500
720084	16.316771	0.403800
742945	45.528021	14.808200
764093	9.352917	0.963600
1766484	16.177083	0.403700
1898920	5.797813	1.128500
2089277	5.496979	8.307200
2190401	0.183021	0.020100
2228638	5.744063	9.153400
2232577	15.561875	0.403700
2321317	5.564687	1.096100
2363481	6.048958	1.130100
2416582	0.217396	0.021500
2472457	0.191458	0.020100
2650700	9.138333	0.944300
2684720	0.184167	0.019700
2688395	6.035938	1.125900
2711626	0.191354	0.019800
2721209	52.010000	15.611100
2768001	16.182708	0.403900
2769391	5.025417	0.745500
2891631	5.822500	1.123800
3038115	0.198646	0.020300
3074816	39.034375	12.863100
3158650	45.564479	14.220200
3290496	0.212188	0.021800
3291040	5.465000	1.132100
3302446	16.192500	0.403600
3386527	45.274167	13.508800
3428117	16.511979	0.403700
3552729	16.375312	0.403700
3926183	16.018542	0.403600
3939298	3.232917	0.899200
4031479	50.614896	15.327000
