time,type,collection_id,scheduling_class,missing_type,collection_type,priority,alloc_collection_id,user,collection_name,collection_logical_name,parent_collection_id,start_after_collection_ids,max_per_machine,max_per_switch,vertical_scaling,scheduler
0,3,374974548937,1,,0,200,,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,q6zDCFffk9W0bMS+E7GxYlPqmqxQuApRMiQ+lrzTmk0=,/g4dInDspStJwHZbqlo7eZlDHITxcKHxUz+lD+nHm/k=,,[],,,1,0
0,0,7546250698,2,,0,200,,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,C5EieslBAilg2ZdhBOol82SYP1fPS2QhmB+87H88oms=,2Y7ND/x/DI2UjfiQ9/55bucgdR3YTcaRwuBJiiNuvEE=,,[],,,3,0
0,0,18572134031,1,,0,200,,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,nY9YHeCdsBln/fxOaY9UR0edTR+53oL2rvYrSZrlz+E=,4BPgVMmUsb1r8q/cv1OTlVkULPCVbsRF+3WgXug0fhs=,,[],,,1,0
0,2,8691717650,1,,0,200,,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,b/03Uj91WaEEwkdsZgDU8tNrY12dxpzGct8NhSaXAsI=,5/IJTvADPWz/vV5T2NAmZ43+naTaVy2MoO1AoS6ucYg=,,[],,,1,0
0,2,360867577619,2,,0,200,,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,IA2lVC/GYGoclm2eQZVCzmBeR00FFrgcxFo/tqB0nYs=,6q1Zb6Hko6UVS2kW8wRHlGwTPg4qciTfEe1fqS7HkkE=,,[],,,1,0
0,0,18572237755,1,,0,200,,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,GCUTU4kb+P1Nk0d6T3ztD6OrgN3Rhkykl+cRAFkNyV8=,A3UyRg7+qt1DyLpGIevpmIWhcVas8ocS3SJ/Rhdcyow=,,[],,,3,0
0,3,374974550105,1,,0,200,,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,SzeYu9CMac04lWRd4ZoBR/5RL14bOawGeaYI1BG5Ts0=,CeWvZM6OW/jS/qWhLlkUSPcq6YCA4yyubYle7eit4ac=,,[374974550096 374974548698],,,1,0
0,3,7513901570,1,,0,200,,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,djQPp3GngSNsk8jwA89KDaU+fJZj6mhSkR+at6UAIUE=,LM+aMAkGrLAV44FC4y+gi91X1KoObimrygwJbaf1e6A=,,[],,,1,0
0,2,374974548873,1,,0,200,,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,6T9qI/kabCHtORCYNeFXUmRscsYPOKcBL9PV58nJZQ8=,TQqvHeNN/ZSboMFgovke6vtF4dz4Zb9oKRbEgeUrOgY=,,[],,,1,0
0,0,56257159734,0,,0,200,,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,YuAIj3eRRhkfRKpXECnpkJ0guWrttAbm/66HXsHZFNo=,ZWr7waPprwBLs+sOoaUr2cNw2BzxrHvsf8fwQdUJRRo=,,[],,,2,0
0,3,374974548831,1,,0,200,,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,rsPwQLutdVIUZbnpGbja7xevzT0gu2C/ZMS1ukNNLDI=,gmVkaqAZ8CfHKTugoV+OE83s/uVwAAPCND6B3bgRgfE=,,[],,,1,0
0,2,374974566334,1,,0,200,,4+xJwHj7e8nRzTPp13wnDUjqOYGJ9nnXrMHjtTo3Zt4=,dE9worZ28WzRWnD2f8M4JqRd5QbE2Qu9+cm0F8/TvC4=,gnhy3WqYuGJ86XZB2xtL3POV6g528Bs1uHIhyhcNdwM=,,[374974548698],,,1,0
